threshold,true_positive,false_positive,false_negative,true_negative,customers_targeted,total_profit,profit_per_customer,precision,target_rate,estimated_coupon_budget,meets_max_target_rate,meets_minimum_precision,meets_budget_cap,constraints_satisfied,constraint_violation_score
0.28,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.29,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.3,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.31,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.32,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.33,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.34,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.35,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.36,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.37,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.38,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.39,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.4,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.41,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.42,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.43,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.44,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.45,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.46,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.47,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.48,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.49,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.5,9959,9754,13,9,19713,698905.0,35.41449201925513,0.5051996144676102,0.9988852292880669,295695.0,False,True,False,False,29.36838522928807
0.51,17,14,9955,9749,31,-994265.0,-50.380795540917156,0.5483870967741935,0.0015708132759057513,465.0,True,True,True,True,0.0
0.52,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.53,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.54,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.55,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.56,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.57,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.58,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
